Time,Is_Day,Average_Wind_Speed (m/s),Average_Barometric_Pressure (InHg),Temperature (K),Solar_Radiation (W/m²),Density (kg/m³),Wind_Power_Generated (W),Solar_Power_Generated (W)
2025-03-09T00:00,0,1.3333333333333333,29.866622350803993,292.45,0.0,0.012047967319210939,0.9614846725784432,0.0
2025-03-09T01:00,0,1.4166666666666665,29.863669352746765,291.84999999999997,0.0,0.012071542474327956,1.1555218645571226,0.0
2025-03-09T02:00,0,1.5277777777777777,29.85481035857508,291.95,0.0,0.012063827905534298,1.4483651756134308,0.0
2025-03-09T03:00,0,1.3333333333333333,29.848904362460626,290.95,0.0,0.01210289676672792,0.9658683018215742,0.0
2025-03-09T04:00,0,1.25,29.837092370231712,289.54999999999995,0.0,0.012156602758753196,0.7993825050533688,0.0
2025-03-09T05:00,0,1.5,29.819374381888345,289.15,0.0,0.01216619090635738,1.3824224527482387,0.0
2025-03-09T06:00,0,1.7222222222222223,29.831186374117255,288.95,0.0,0.012179434455981093,2.0946287660338583,0.0
2025-03-09T07:00,1,2.0,29.85481035857508,288.65,1.0,0.012201747988985755,3.2864301991728135,0.2
2025-03-09T08:00,1,2.2222222222222223,29.88434033914736,289.75,94.0,0.012167448734174255,4.495462285113997,18.8
2025-03-09T09:00,1,3.3055555555555554,29.89615233137627,292.25,313.0,0.012068132613206127,14.675260883055678,62.6
2025-03-09T10:00,1,4.5,29.890246335261818,295.25,533.0,0.011943149918605388,36.64112504395725,106.60000000000001
2025-03-09T11:00,1,5.416666666666667,29.875481344975675,297.84999999999997,711.0,0.01183304736147428,63.31481019513891,142.20000000000002
2025-03-09T12:00,1,5.416666666666667,29.848904362460626,299.84999999999997,828.0,0.01174366454653823,62.83655165450225,165.60000000000002
2025-03-09T13:00,1,5.416666666666667,29.816421383831116,301.15,881.0,0.01168024482551091,62.49721323416036,176.20000000000002
2025-03-09T14:00,1,5.305555555555556,29.78393840520161,301.95,858.0,0.011636607531464593,58.51017017725593,171.60000000000002
2025-03-09T15:00,1,4.833333333333333,29.769173414915468,302.25,763.0,0.011619294581547087,44.17050653930521,152.6
2025-03-09T16:00,1,4.361111111111111,29.7514554265721,302.04999999999995,606.0,0.011620068065051671,32.449835654599276,121.2
2025-03-09T17:00,1,4.027777777777778,29.74259643240042,301.54999999999995,402.0,0.011635869490754375,25.59809937020345,80.4
2025-03-09T18:00,1,3.222222222222222,29.73964343434319,300.54999999999995,177.0,0.011673425631563322,13.148528770194142,35.4
2025-03-09T19:00,0,2.2222222222222223,29.75440842462933,298.65,16.0,0.011753523959214739,4.342531029321771,0.0
2025-03-09T20:00,0,2.055555555555556,29.775079411029925,297.45,0.0,0.011809139452055329,3.453172572313692,0.0
2025-03-09T21:00,0,2.2777777777777777,29.78098540714438,296.54999999999995,0.0,0.011847328520502812,4.713753424988004,0.0
2025-03-09T22:00,0,2.5555555555555554,29.78098540714438,296.04999999999995,0.0,0.011867337519861876,6.668400091723264,0.0
2025-03-09T23:00,0,3.0,29.775079411029925,295.65,0.0,0.011881036800317463,10.800167224799576,0.0
2025-03-10T00:00,0,3.416666666666667,29.775079411029925,295.34999999999997,0.0,0.011893104892547343,15.970387577747344,0.0
2025-03-10T01:00,0,3.888888888888889,29.775079411029925,294.34999999999997,0.0,0.011933509529518797,23.62964318584338,0.0
2025-03-10T02:00,0,3.555555555555556,29.763267418801014,293.95,0.0,0.011945007805855954,18.076786106279254,0.0
2025-03-10T03:00,0,2.972222222222222,29.75440842462933,293.75,0.0,0.011949582741853555,10.56352698904495,0.0
2025-03-10T04:00,0,2.6666666666666665,29.7514554265721,293.04999999999995,0.0,0.011976937584196748,7.646529315046687,0.0
2025-03-10T05:00,0,2.5833333333333335,29.75440842462933,292.54999999999995,0.0,0.011998598292324327,6.964408416320367,0.0
2025-03-10T06:00,0,2.2222222222222223,29.763267418801014,291.84999999999997,0.0,0.01203095783632468,4.445033497867847,0.0
