Time,Is_Day,Average_Wind_Speed_kmh,Average_Barometric_Pressure_hPa,Temperature_K,Density_kgm3,Solar_Radiation_Wm2,Wind_Power_Generated_W,Solar_Power_Generated_W
2025-03-07T00:00,0,6.0,1013.0,289.15,1.220474465171192,0.0,8875.54077239757,0.0
2025-03-07T01:00,0,4.8,1012.5,288.34999999999997,1.2232564797028376,0.0,4554.635342329536,0.0
2025-03-07T02:00,0,5.4,1012.7,287.95,1.2251977086129118,0.0,6495.309203467568,0.0
2025-03-07T03:00,0,6.1,1012.2,287.45,1.226722889243872,0.0,9374.505075592975,0.0
2025-03-07T04:00,0,7.8,1012.5,286.75,1.2300819735738906,0.0,19653.062573634375,0.0
2025-03-07T05:00,0,6.8,1012.1,286.34999999999997,1.231313627996381,0.0,13034.902860849113,0.0
2025-03-07T06:00,0,5.0,1011.9,286.04999999999995,1.2323614161999261,0.0,5186.333981295548,0.0
2025-03-07T07:00,1,3.9,1012.8,285.54999999999995,1.2356172906022602,0.0,2467.6875658453914,0.0
2025-03-07T08:00,1,4.4,1012.9,285.65,1.2353066846415641,80.0,3542.788250746092,16.0
2025-03-07T09:00,1,6.3,1013.4,286.75,1.231175379772623,284.0,10364.633392440497,56.800000000000004
2025-03-07T10:00,1,6.5,1013.6,289.15,1.221197352317394,492.0,11291.153165563002,98.4
2025-03-07T11:00,1,9.3,1013.3,291.25,1.21203331506751,662.0,32822.81143788602,132.4
2025-03-07T12:00,1,11.3,1013.0,293.04999999999995,1.2042320136640512,777.0,58500.270418105094,155.4
2025-03-07T13:00,1,14.1,1011.9,294.34999999999997,1.1976116293663628,811.0,113027.91523613434,162.20000000000002
2025-03-07T14:00,1,15.6,1011.9,295.04999999999995,1.1947703206371425,735.0,152711.0965093253,147.0
2025-03-07T15:00,1,15.7,1011.2,295.54999999999995,1.1919239490755444,660.0,155295.85996032713,132.0
2025-03-07T16:00,1,15.0,1010.8,296.04999999999995,1.1894402114633595,526.0,135153.9579795132,105.2
2025-03-07T17:00,1,13.7,1010.4,295.65,1.1905781365066057,359.0,103069.92955174978,71.8
2025-03-07T18:00,1,10.1,1010.4,295.15,1.1925950400073795,161.0,41368.47342120401,32.2
2025-03-07T19:00,0,5.8,1011.1,293.84999999999997,1.1987009903450392,13.0,7874.21410840381,0.0
2025-03-07T20:00,0,3.4,1011.8,292.65,1.2044494992913086,0.0,1593.8143080581076,0.0
2025-03-07T21:00,0,1.6,1012.3,291.75,1.2087620622092146,0.0,166.69138061232454,0.0
2025-03-07T22:00,0,0.5,1012.7,291.45,1.210484406227785,0.0,5.094265632890483,0.0
2025-03-07T23:00,0,2.6,1012.7,290.15,1.2159079103742478,0.0,719.5038174730438,0.0
2025-03-08T00:00,0,3.4,1012.9,288.84999999999997,1.2216214452756198,0.0,1616.5374635105359,0.0
2025-03-08T01:00,0,4.3,1012.5,288.34999999999997,1.2232564797028376,0.0,3274.4266507757743,0.0
2025-03-08T02:00,0,3.1,1012.7,288.25,1.2239225678927594,0.0,1227.5845080025917,0.0
2025-03-08T03:00,0,2.8,1012.5,287.84999999999997,1.2253812955439054,0.0,905.6444200569188,0.0
2025-03-08T04:00,0,3.1,1012.5,287.45,1.2270864704202928,0.0,1230.7578768328742,0.0
2025-03-08T05:00,0,3.5,1012.4,287.04999999999995,1.228675034962292,0.0,1773.5912677039732,0.0
2025-03-08T06:00,0,3.6,1012.7,286.75,1.2303249527291644,0.0,1932.5899165110766,0.0
2025-03-08T07:00,1,3.6,1012.9,286.34999999999997,1.232286902279947,0.0,1935.6717396588026,0.0
2025-03-08T08:00,1,3.6,1013.6,286.65,1.231847948447844,85.0,1934.9822325917023,17.0
2025-03-08T09:00,1,3.3,1014.1,288.25,1.225614571047741,293.0,1482.8871776636768,58.6
2025-03-08T10:00,1,4.8,1014.3,290.84999999999997,1.21489796932194,502.0,4523.5135232983275,100.4
2025-03-08T11:00,1,8.1,1013.9,293.65,1.2028391821274873,674.0,21521.621937639036,134.8
2025-03-08T12:00,1,7.2,1013.4,295.95,1.1929026529812459,791.0,14990.456844214626,158.20000000000002
2025-03-08T13:00,1,7.2,1012.6,297.54999999999995,1.1855514806207381,842.0,14898.079287882452,168.4
2025-03-08T14:00,1,7.6,1011.3,298.34999999999997,1.18085456774146,822.0,17452.175250953525,164.4
