Time,Is_Day,Average_Wind_Speed (m/s),Average_Barometric_Pressure (InHg),Temperature (K),Solar_Radiation (W/m²),Density (kg/m³),Wind_Power_Generated (W),Solar_Power_Generated (W)
2025-03-09T00:00,0,2.2777777777777777,29.8252803780028,291.25,0.0,0.012080861264599096,4.806670218037649,0.0
2025-03-09T01:00,0,3.083333333333333,29.834139372174484,290.75,0.0,0.012105231151939335,11.946670774126638,0.0
2025-03-09T02:00,0,3.4722222222222223,29.813468385773888,290.45,0.0,0.012109338467316183,17.066926955132722,0.0
2025-03-09T03:00,0,3.8055555555555554,29.79575039743052,290.45,0.0,0.012102141950794404,22.455814730296353,0.0
2025-03-09T04:00,0,3.888888888888889,29.769173414915468,290.34999999999997,0.0,0.01209551158006753,23.950424816793813,0.0
2025-03-09T05:00,0,4.111111111111112,29.74259643240042,290.25,0.0,0.012088876640609755,28.279775958219716,0.0
2025-03-09T06:00,0,4.388888888888889,29.745549430457643,290.04999999999995,0.0,0.012098413433227395,34.43535421413841,0.0
2025-03-09T07:00,1,4.25,29.772126412972696,289.75,0.0,0.01212176068556767,31.328880095484124,0.0
2025-03-09T08:00,1,4.333333333333333,29.79575039743052,290.04999999999995,89.0,0.012118831682841698,33.20010224124246,17.8
2025-03-09T09:00,1,4.916666666666666,29.804609391602206,291.34999999999997,299.0,0.012068344752771961,48.291687271202214,59.800000000000004
2025-03-09T10:00,1,5.527777777777778,29.801656393544977,293.25,508.0,0.011988964611592445,68.17823906834319,101.60000000000001
2025-03-09T11:00,1,5.527777777777778,29.79870339548775,295.34999999999997,680.0,0.011902541056302217,67.68676995448693,136.0
2025-03-09T12:00,1,5.333333333333333,29.778032409087153,297.54999999999995,798.0,0.011806341459870555,60.30091444776008,159.60000000000002
2025-03-09T13:00,1,5.583333333333334,29.75440842462933,299.25,852.0,0.011729957996389245,68.73683033962801,170.4
2025-03-09T14:00,1,5.916666666666667,29.721925445999823,300.45,832.0,0.011670353953545032,81.38187860880824,166.4
2025-03-09T15:00,1,6.166666666666666,29.70716045571368,301.15,740.0,0.01163744309642862,91.88008032602818,148.0
2025-03-09T16:00,1,6.083333333333333,29.680583473198627,301.25,589.0,0.011623172269390379,88.09715661981674,117.80000000000001
2025-03-09T17:00,1,5.888888888888888,29.668771480969717,300.95,392.0,0.01163012846210783,79.96445230805591,78.4
2025-03-09T18:00,1,4.638888888888888,29.66286548485526,300.25,173.0,0.01165492229119101,39.17091064063928,34.6
2025-03-09T19:00,0,2.944444444444444,29.680583473198627,298.84999999999997,15.0,0.011716515463121472,10.06980216319095,0.0
2025-03-09T20:00,0,2.7222222222222223,29.698301461542,297.34999999999997,0.0,0.011782649653195237,8.002507024043146,0.0
2025-03-09T21:00,0,2.638888888888889,29.713066451828137,296.25,0.0,0.011832279261538325,7.320556544061614,0.0
2025-03-09T22:00,0,2.5,29.716019449885366,295.34999999999997,0.0,0.011869514483160164,6.244035383641309,0.0
2025-03-09T23:00,0,1.9444444444444444,29.70716045571368,294.75,0.0,0.011890130580116974,2.942968520139297,0.0
2025-03-10T00:00,0,2.25,29.701254459599223,293.75,0.0,0.011928235730206732,4.574421110877045,0.0
2025-03-10T01:00,0,2.6666666666666665,29.698301461542,293.54999999999995,0.0,0.011935175862298086,7.619867054472976,0.0
2025-03-10T02:00,0,3.138888888888889,29.689442467370313,293.65,0.0,0.011927552393208675,12.419140369572538,0.0
2025-03-10T03:00,0,3.2499999999999996,29.680583473198627,293.45,0.0,0.011932120109571825,13.790501949931107,0.0
2025-03-10T04:00,0,3.1111111111111107,29.677630475141402,293.04999999999995,0.0,0.011947218136097006,12.112275309421555,0.0
2025-03-10T05:00,0,3.5,29.677630475141402,292.45,0.0,0.01197172944018884,17.28118028790675,0.0
2025-03-10T06:00,0,3.6944444444444446,29.686489469313084,292.15,0.0,0.011987600167363005,20.351294758464867,0.0
2025-03-10T07:00,1,3.5,29.69534846348477,291.84999999999997,0.0,0.012003503522381286,17.32704614593451,0.0
2025-03-10T08:00,1,2.861111111111111,29.713066451828137,291.95,82.0,0.0120065515712647,9.467489609479518,16.400000000000002
2025-03-10T09:00,1,3.0277777777777777,29.721925445999823,293.04999999999995,282.0,0.011965049804956851,11.181469331907506,56.400000000000006
2025-03-10T10:00,1,3.75,29.727831442114276,295.15,507.0,0.011882278800893969,21.096281709342808,101.4
2025-03-10T11:00,1,3.861111111111111,29.727831442114276,297.65,684.0,0.011782478038245775,22.834205862155798,136.8
