Time,Is_Day,Average_Wind_Speed (m/s),Average_Barometric_Pressure (InHg),Temperature (K),Solar_Radiation (W/m²),Density (kg/m³),Wind_Power_Generated (W),Solar_Power_Generated (W)
2025-03-09T00:00,0,8.2,29.8252803780028,291.25,0.0,0.012080861264599096,224.26000569276448,0.0
2025-03-09T01:00,0,11.1,29.834139372174484,290.75,0.0,0.012105231151939335,557.3838716376528,0.0
2025-03-09T02:00,0,12.5,29.813468385773888,290.45,0.0,0.012109338467316183,796.2745440186721,0.0
2025-03-09T03:00,0,13.7,29.79575039743052,290.45,0.0,0.012102141950794404,1047.6984920567068,0.0
2025-03-09T04:00,0,14.0,29.769173414915468,290.34999999999997,0.0,0.01209551158006753,1117.4310202523318,0.0
2025-03-09T05:00,0,14.8,29.74259643240042,290.25,0.0,0.012088876640609755,1319.421227106699,0.0
2025-03-09T06:00,0,15.8,29.745549430457643,290.04999999999995,0.0,0.012098413433227395,1606.6158862148416,0.0
2025-03-09T07:00,1,15.3,29.772126412972696,289.75,0.0,0.01212176068556767,1461.6802297349075,0.0
2025-03-09T08:00,1,15.6,29.79575039743052,290.04999999999995,89.0,0.012118831682841698,1548.983970167408,17.8
2025-03-09T09:00,1,17.7,29.804609391602206,291.34999999999997,299.0,0.012068344752771961,2253.096961325211,59.800000000000004
2025-03-09T10:00,1,19.9,29.801656393544977,293.25,508.0,0.011988964611592445,3180.923921972619,101.60000000000001
2025-03-09T11:00,1,19.9,29.79870339548775,295.34999999999997,680.0,0.011902541056302217,3157.993938996542,136.0
2025-03-09T12:00,1,19.2,29.778032409087153,297.54999999999995,798.0,0.011806341459870555,2813.399464474694,159.60000000000002
2025-03-09T13:00,1,20.1,29.75440842462933,299.25,852.0,0.011729957996389245,3206.985556325684,170.4
2025-03-09T14:00,1,21.3,29.721925445999823,300.45,832.0,0.011670353953545032,3796.952928372558,166.4
2025-03-09T15:00,1,22.2,29.70716045571368,301.15,740.0,0.01163744309642862,4286.757027691173,148.0
2025-03-09T16:00,1,21.9,29.680583473198627,301.25,589.0,0.011623172269390379,4110.260939254168,117.80000000000001
2025-03-09T17:00,1,21.2,29.668771480969717,300.95,392.0,0.01163012846210783,3730.8214868846576,78.4
2025-03-09T18:00,1,16.7,29.66286548485526,300.25,173.0,0.01165492229119101,1827.5580068496672,34.6
2025-03-09T19:00,0,10.6,29.680583473198627,298.84999999999997,15.0,0.011716515463121472,469.81668972583714,0.0
2025-03-09T20:00,0,9.8,29.698301461542,297.34999999999997,0.0,0.011782649653195237,373.36496771375704,0.0
2025-03-09T21:00,0,9.5,29.713066451828137,296.25,0.0,0.011832279261538325,341.54788611973856,0.0
2025-03-09T22:00,0,9.0,29.716019449885366,295.34999999999997,0.0,0.011869514483160164,291.32171485916894,0.0
2025-03-09T23:00,0,7.0,29.70716045571368,294.75,0.0,0.011890130580116974,137.30713927561905,0.0
2025-03-10T00:00,0,8.1,29.701254459599223,293.75,0.0,0.011928235730206732,213.42419134907942,0.0
2025-03-10T01:00,0,9.6,29.698301461542,293.54999999999995,0.0,0.011935175862298086,355.5125172934911,0.0
2025-03-10T02:00,0,11.3,29.689442467370313,293.65,0.0,0.011927552393208675,579.4274130827765,0.0
2025-03-10T03:00,0,11.7,29.680583473198627,293.45,0.0,0.011932120109571825,643.409658975986,0.0
2025-03-10T04:00,0,11.2,29.677630475141402,293.04999999999995,0.0,0.011947218136097006,565.1103168363722,0.0
2025-03-10T05:00,0,12.6,29.677630475141402,292.45,0.0,0.01197172944018884,806.2707475125771,0.0
2025-03-10T06:00,0,13.3,29.686489469313084,292.15,0.0,0.011987600167363005,949.5100082509367,0.0
2025-03-10T07:00,1,12.6,29.69534846348477,291.84999999999997,0.0,0.012003503522381286,808.4106649847204,0.0
2025-03-10T08:00,1,10.3,29.713066451828137,291.95,82.0,0.0120065515712647,441.7151952198765,16.400000000000002
2025-03-10T09:00,1,10.9,29.721925445999823,293.04999999999995,282.0,0.011965049804956851,521.6826331494768,56.400000000000006
2025-03-10T10:00,1,13.5,29.727831442114276,295.15,507.0,0.011882278800893969,984.268119431098,101.4
2025-03-10T11:00,1,13.9,29.727831442114276,297.65,684.0,0.011782478038245775,1065.352708704741,136.8
2025-03-10T12:00,1,17.9,29.716019449885366,299.84999999999997,800.0,0.011691382700021194,2257.549826340608,160.0
2025-03-10T13:00,1,21.0,29.69239546542754,301.65,848.0,0.01161237902083989,3620.690991186864,169.60000000000002
2025-03-10T14:00,1,25.3,29.66581848291249,302.25,827.0,0.01157895381075509,6313.108592773824,165.4
2025-03-10T15:00,1,27.0,29.64810049456912,302.34999999999997,725.0,0.011568210884990823,7666.018523043324,145.0
2025-03-10T16:00,1,26.5,29.639241500397436,302.04999999999995,539.0,0.011576240513044527,7252.9976681572625,107.80000000000001
2025-03-10T17:00,1,23.7,29.636288502340207,301.45,358.0,0.01159812597642884,5198.107232883491,71.60000000000001
2025-03-10T18:00,1,19.5,29.642194498454664,300.65,143.0,0.011631304900501328,2903.6525605284373,28.6
2025-03-10T19:00,0,15.3,29.66286548485526,299.34999999999997,15.0,0.01168996297955604,1409.6126970972155,0.0
2025-03-10T20:00,0,12.1,29.69239546542754,297.75,0.0,0.0117644807107854,701.6834731797953,0.0
